s,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5"
 5.0509426E+002, 3.9699866E+001, 1.2911630E+002, 2.6367362E+001, 2.7055964E+002, 2.0076249E+001, 2.0028715E+001
 5.1026156E+002, 3.9308721E+001, 1.3255460E+002, 2.6331798E+001, 2.7695252E+002, 2.0060972E+001, 2.0027727E+001
 5.1519085E+002, 3.7563677E+001, 1.4081787E+002, 2.6257263E+001, 3.1940386E+002, 2.0038542E+001, 2.0026870E+001
 5.2018962E+002, 3.7303189E+001, 1.2617852E+002, 2.6175225E+001, 3.0276133E+002, 2.0013959E+001, 2.0024930E+001
 5.2516010E+002, 3.7381281E+001, 1.3642155E+002, 2.6063717E+001, 2.6170822E+002, 1.9992903E+001, 2.0021819E+001
 5.3026078E+002, 3.8228076E+001, 1.0129639E+002, 2.5906004E+001, 2.3210083E+002, 1.9974387E+001, 2.0018154E+001
 5.3513381E+002, 3.9047528E+001, 1.1548047E+002, 2.5684412E+001, 2.5964711E+002, 1.9960893E+001, 2.0014292E+001
 5.4003911E+002, 3.8191705E+001, 1.3425910E+002, 2.5490574E+001, 3.1933720E+002, 1.9953459E+001, 2.0008961E+001
 5.4509990E+002, 3.6900590E+001, 1.3765479E+002, 2.5339608E+001, 2.9463100E+002, 1.9950767E+001, 2.0001817E+001
 5.5021171E+002, 3.6957748E+001, 1.3766472E+002, 2.5200331E+001, 2.8926330E+002, 1.9951821E+001, 1.9992779E+001
 5.5511791E+002, 3.8090566E+001, 1.2660706E+002, 2.5066476E+001, 3.1399768E+002, 1.9955318E+001, 1.9981777E+001
 5.6003435E+002, 3.8767703E+001, 1.0862283E+002, 2.4991017E+001, 3.0963433E+002, 1.9959632E+001, 1.9970711E+001
 5.6524508E+002, 3.7587284E+001, 1.2784122E+002, 2.4919244E+001, 2.8043223E+002, 1.9964169E+001, 1.9961641E+001
 5.7009566E+002, 3.6433914E+001, 1.3035546E+002, 2.4761721E+001, 2.6745577E+002, 1.9968703E+001, 1.9956264E+001
 5.7513926E+002, 3.6652645E+001, 1.0827724E+002, 2.4566340E+001, 3.0013731E+002, 1.9974116E+001, 1.9954264E+001
 5.8008154E+002, 3.8095822E+001, 1.2930747E+002, 2.4545271E+001, 3.0079818E+002, 1.9982486E+001, 1.9954362E+001
 5.8516262E+002, 3.8571606E+001, 1.6003784E+002, 2.4645005E+001, 3.5792657E+002, 1.9994277E+001, 1.9956020E+001
 5.9008590E+002, 3.7700711E+001, 1.3440815E+002, 2.4726195E+001, 3.2852238E+002, 2.0008589E+001, 1.9959244E+001
 5.9502065E+002, 3.6699977E+001, 1.0153056E+002, 2.4781791E+001, 2.9615048E+002, 2.0023806E+001, 1.9964390E+001
 6.0000000E+002, 3.6657941E+001, 1.1214732E+002, 2.4813878E+001, 3.1006004E+002, 2.0041364E+001, 1.9971635E+001
