s,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6"
 4.9510418E+002, 8.2940947E+001, 1.0743408E+002, 8.9098432E+001, 2.3580967E+002, 7.7904476E+001, 1.5683185E+002, 7.3398395E+001
 5.0010360E+002, 8.1763883E+001, 1.0785058E+002, 8.4898628E+001, 2.0194632E+002, 7.5753502E+001, 1.5886396E+002, 7.4849958E+001
 5.0500814E+002, 8.1857886E+001, 1.0044707E+002, 9.3890655E+001, 3.2035121E+002, 7.1869559E+001, 1.4371980E+002, 7.4417232E+001
 5.1015660E+002, 8.5592404E+001, 1.0438074E+002, 9.3088376E+001, 2.5398258E+002, 7.4213481E+001, 1.4853156E+002, 7.3337989E+001
 5.1500814E+002, 8.2076014E+001, 1.1065571E+002, 9.1399086E+001, 2.5870055E+002, 7.4317781E+001, 1.4293971E+002, 7.6434211E+001
 5.2007186E+002, 7.9043767E+001, 1.0858512E+002, 8.7143551E+001, 2.6607626E+002, 7.2360039E+001, 1.3566085E+002, 7.6615992E+001
 5.2521126E+002, 8.0448818E+001, 9.9635361E+001, 8.4190923E+001, 2.9471427E+002, 7.5114128E+001, 1.3753448E+002, 7.6653109E+001
 5.3023019E+002, 8.4026156E+001, 9.9516143E+001, 8.5596145E+001, 2.9345137E+002, 7.6884648E+001, 1.3531983E+002, 6.9448333E+001
 5.3504087E+002, 8.4944027E+001, 1.0070432E+002, 9.3412071E+001, 2.9582014E+002, 7.5881643E+001, 1.3421024E+002, 8.0377698E+001
 5.4024396E+002, 8.4467202E+001, 9.8055630E+001, 9.0789421E+001, 2.6084952E+002, 7.3441485E+001, 1.3327012E+002, 8.4887420E+001
 5.4515592E+002, 8.2134659E+001, 1.0483309E+002, 8.7208452E+001, 2.5411300E+002, 7.3849384E+001, 1.3440342E+002, 7.8918536E+001
 5.5014405E+002, 7.8145771E+001, 1.0562079E+002, 9.0098905E+001, 2.5765219E+002, 7.0319498E+001, 1.3236017E+002, 7.4026164E+001
 5.5516642E+002, 7.4719503E+001, 1.0614487E+002, 8.6802186E+001, 2.5842101E+002, 6.8570918E+001, 1.3196154E+002, 7.7381193E+001
 5.6007669E+002, 8.0556953E+001, 1.0539352E+002, 8.2755962E+001, 3.0352267E+002, 7.3114196E+001, 1.3549608E+002, 7.9156349E+001
 5.6525632E+002, 8.4798665E+001, 1.0381320E+002, 8.2067915E+001, 2.4739606E+002, 7.8894169E+001, 1.3625477E+002, 7.5724461E+001
 5.7010264E+002, 8.6040650E+001, 1.0673144E+002, 8.7778526E+001, 2.7484825E+002, 7.8284933E+001, 1.4048821E+002, 7.3703054E+001
 5.7517358E+002, 8.6318694E+001, 1.0668088E+002, 8.8032726E+001, 2.3480205E+002, 7.9652234E+001, 1.3093585E+002, 7.4553134E+001
 5.8023575E+002, 8.5070217E+001, 1.0863296E+002, 8.4933534E+001, 2.5674595E+002, 7.8175318E+001, 1.3794271E+002, 7.7674386E+001
 5.8516495E+002, 8.0391260E+001, 1.0670704E+002, 8.3334234E+001, 2.7923150E+002, 7.5814131E+001, 1.4865062E+002, 7.7725674E+001
 5.9024738E+002, 7.9083925E+001, 1.0244085E+002, 8.8759737E+001, 2.5920951E+002, 7.2526888E+001, 1.4811154E+002, 7.3376854E+001
 5.9504050E+002, 7.9922329E+001, 1.0237059E+002, 8.8577379E+001, 2.5117759E+002, 7.2621695E+001, 1.3122948E+002, 7.8256295E+001
 6.0000000E+002, 7.8045150E+001, 1.1195955E+002, 8.9610169E+001, 2.7490770E+002, 7.5335358E+001, 1.3346002E+002, 8.2789580E+001
